publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2024367678-A1,Safely scheduling offloading of computing tasks for an autonomous vehicle ,University Of California Irvine,"Mohammad Abdullah Al Faruque, Yasser Shoukry Ahmed SAKR, Mohanad Mohamed Abdelmagid Abdelkhalek Odema, James Robert FERLEZ",5/4/2023,11/7/2024,2024
US-2022078378-A1,"Information management system, and in-vehicle device and image management server used therein ",Toyota Jidosha Kabushiki Kaisha,"Katsuhiko Iwazaki, Yu Watanabe",9/9/2020,3/10/2022,2022
US-2023410528-A1,Methods and apparatus to determine the load of a vehicle via camera based height measurement ,"Ford Global Technologies, Llc","Keith Weston, Michael Alan McNees, Lorne Forsythe, Andrew Niedert, Francis Aroyehun",6/21/2022,12/21/2023,2023
US-2024212075-A1,Energy management apparatus and energy management method ,Lg Electronics Inc.,"Kamin LEE, Seungjae Min, Heeyeon CHOI, Hongkyu Kim, Jihack LEE, Hyejeong Jeon",12/21/2022,6/27/2024,2024
US-2023106755-A1,Methods and apparatus to extend brake life cycle ,"Ford Global Technologies, Llc","Chad Michael Korte, John P. Joyce, Karl-Peter Hesseler, Thomas Svensson, Harold John Felch",10/1/2021,4/6/2023,2023
US-2024239192-A1,Information processing device ,Toyota Jidosha Kabushiki Kaisha,"Hideki Kobayashi, Yasuhiro Miura, Kuka Ishiyama, Koji Aikawa, Tadahiro Nishikawa, Yuji Ota, Motoki MAEKAWA, Yasuhiro Ishiguro",1/13/2023,7/18/2024,2024
US-2024402712-A1,"Remote control device, control device, and control method ",Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Yasuhiro Saito, Daiki Yokoyama",5/31/2023,12/5/2024,2024
US-2024400092-A1,Control device ,Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Yasuhiro Saito, Daiki Yokoyama",5/31/2023,12/5/2024,2024
US-2024402730-A1,System and method ,Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Yasuhiro Saito, Daiki Yokoyama",5/29/2023,12/5/2024,2024
US-2024193568-A1,Road usage charging (ruc) determination and reporting techniques ,Qualcomm Incorporated,"Drew Foster VAN DUREN, William Whyte, Sean Vincent MASCHUE, Jonathan Petit, Virendra Kumar, Anthony Bahadir Lopez",12/13/2022,6/13/2024,2024
US-2023334825-A1,Device and method for detecting object ,"Hyundai Motor Company, Kia Corporation",Jae Hong Lee,4/13/2022,10/19/2023,2023
US-2024086618-A1,System for labeling a data set ,"Toyota Research Institute, Inc., Toyota Jidosha Kabushiki Kaisha","Monica PhuongThao VAN, Yin-Ying Chen, Kenton Michael Lyons, Francine Chen",9/12/2022,3/14/2024,2024
US-12045601-B1,Systems and methods for dynamic data management ,Apple Inc.,"Thaddeus S. Fortenberry, Jonathan P. Gardner",3/1/2021,7/23/2024,2024
US-2023373323-A1,Charging port alignment methods and apparatus for robotic car chargers ,"Procom Engineering, Inc.","Wesley Zhou, Shepherd Darquea, Morgan Simpson",5/19/2022,11/23/2023,2023
US-2024329644-A1,"Unmanned driving system, control device, and unmanned driving method ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORl, Daiki Yokoyama",3/29/2023,10/3/2024,2024
US-2024327122-A1,"Unmanned driving system, control device, and unmanned driving method ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORl, Daiki Yokoyama",3/29/2023,10/3/2024,2024
US-2024329713-A1,"Cloud server device, battery management system and method including the same ","Kyungpook National University Industry-Academic Cooperation Foundation, Better-Why Co., Ltd.","Se Kyung Han, Gyeong Gak KIM",3/11/2021,10/3/2024,2024
US-2024345589-A1,"Moving object management device, moving object management system, and remote control function disablement method ",Toyota Jidosha Kabushiki Kaisha,"Shogo YASUYAMA, Keigo IKEDA, Daiki Yokoyama, Yasuhiro Saito",4/13/2023,10/17/2024,2024
US-2023144022-A1,Power storage device and electronic device ,"Semiconductor Energy Laboratory Co., Ltd.","Kei Takahashi, Kazuki Tanemura",3/27/2020,5/11/2023,2023
US-2024338202-A1,Upgrade method based on over-the-air ota technology and communication apparatus ,"Huawei Technologies Co., Ltd.","Tao Ma, Zheng Zhou, Yong Wang",12/17/2021,10/10/2024,2024
US-2023297070-A1,Arrangement and a computer-implemented method for three-dimensional (3d) printing of at least one vehicle component for a vehicle ,Volvo Truck Corporation,"Bo Linus EKLUND, Christian Johansson, Anders Nilsson",3/15/2022,9/21/2023,2023
US-2023132421-A1,Method of recognizing stop line of autonomous vehicle ,Research & Business Foundation Sungkyunkwan University,"Jaewook JEON, Hyungjoon JEON",10/28/2021,5/4/2023,2023
US-2024262244-A1,"Remote automatic driving system, server, and method of manufacturing vehicle ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",2/8/2023,8/8/2024,2024
US-2025054041-A1,Vehicle telematics systems and methods ,State Farm Mutual Automobile Insurance Company,"Joseph R. Brannan, Benjamin J. Tucker, Ryan M. Gross, Michael A. Myers, Darwin G. Beachy, M. Eric Riley, Sr., Brian N. Harvey",,2/13/2025,2025
US-2023382409-A1,System for enabling a vehicle to perform a circuit mode ,"Hyundai Motor Company, Kia Corporation","Ho Kyun Chun, Jae Sung BANG, Seok Hwan Choi, Dong Hyeon Woo, Dae Woong Hwang, Daw Ki Hong, Ho Won Seo",5/27/2022,11/30/2023,2023
US-2023052297-A1,Systems and Methods to Emulate a Sensor in a Vehicle ,"Ford Global Technologies, Llc","Ayush Chandrakanth Shah, Nithya Somanath, Joseph Wisniewski, Harald Christian Martinez, Jeffrey Brian Yeung",8/13/2021,2/16/2023,2023
US-12115964-B1,Gear selection for merging into faster traffic ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Thomas S. Hawley, Bradley S. Nowlin, Syed S. Ali",7/26/2023,10/15/2024,2024
US-2023415715-A1,Methods and apparatus to reduce end of stop jerk ,"Ford Global Technologies, Llc","Alexandra Sharlow, Dale Scott Crombez, Steven Remington",6/27/2022,12/28/2023,2023
US-2024336156-A1,Automated fleet-connected charging system ,Gm Cruise Holdings Llc,"Kenneth Ferguson, Jeffrey BRANDON",4/6/2023,10/10/2024,2024
US-2024270285-A1,Driving behavior-aware advanced driving assistance system ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Seyhan Ucar, Emrah Akin Sisbot, Yashar Zeiynali Farid, Kentaro Oguchi",2/14/2023,8/15/2024,2024
US-2024336234-A1,Automated fleet-connected cleaning and inspection system ,Gm Cruise Holdings Llc,"Kenneth Ferguson, Jeffrey BRANDON",4/6/2023,10/10/2024,2024
US-2025013837-A1,Passive Reader and Active Receiver/Transmitter Devices For Logistics Tracking ,PRhObe Inc.,Stephen Pearce,7/5/2023,1/9/2025,2025
US-2024297197-A1,"Semiconductor device, solid-state imaging device, and method for manufacturing semiconductor device ",Sony Semiconductor Solutions Corporation,Takahiro Kamei,10/18/2021,9/5/2024,2024
US-2023268766-A1,Smart energy platforms and methods for a property ,State Farm Mutual Automobile Insurance Company,Alexander Cardona,2/18/2022,8/24/2023,2023
US-2024266378-A1,Imaging device and electronic device ,"Semiconductor Energy Laboratory Co., Ltd.","Takayuki Ikeda, Tatsuya Onuki, Kiyoshi Kato, Shunpei Yamazaki",6/17/2021,8/8/2024,2024
US-2024062410-A1,System and method for multimodal object-centric representation learning ,"Honda Motor Co., Ltd.","Alireza REZAZADEH, Nawid JAMALI, Soshi Iba",8/19/2022,2/22/2024,2024
US-2024362817-A1,"Position estimation device, position estimation system, and position estimation method ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",4/26/2023,10/31/2024,2024
US-2024346861-A1,Controller and control method ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",4/17/2023,10/17/2024,2024
US-2023391183-A1,Mounting Structure of Cooling Device for Vehicle ,"Hyundai Motor Company, Kia Corporation, Hanon Systems","Yeonho Kim, Eon Soo Yun, Jae Yeon Kim, HoYoung Jeong, Ok Ryul Min, Sung-wook Park, Jung Sam GU",6/2/2022,12/7/2023,2023
US-2023072182-A1,Mounting structure of thermal management module for vehicle ,"Hyundai Motor Company, Kia Corporation, Hanon Systems","Yeonho Kim, Gee Young Shin, Jae Yeon Kim, Jeawan Kim, Jung Sam GU, Jae Chun Ryu, Sung-wook Park",9/3/2021,3/9/2023,2023
US-2024284150-A1,Method of sharing and delivering v2x service related information by a server and an rsu and apparatus therefor ,Lg Electronics Inc.,"Byoungkil SONG, Hakseong Kim",2/21/2023,8/22/2024,2024
US-2023382462-A1,Front Pillar Structure ,"Hyundai Motor Company, Kia Corporation",Yoonkyoung Han,5/31/2022,11/30/2023,2023
US-2021319462-A1,System and method for model based product development forecasting ,"Honda Motor Co., Ltd.",Ravi G. Advani,4/8/2020,10/14/2021,2021
US-2024416722-A1,Refrigerant circulating apparatus of vehicle ,"Hyundai Motor Company, Kia Corporation, Hanon Systems, Doowon Climate Control Co., Ltd.","Jeawan Kim, Dongwook Lee, Wan Je Cho, Yeonho Kim, HoYoung Jeong, Man Hee Park, Yeong Jun KIM, Jae Yeon Kim, Hochan An, Hae Jun Lee, Sang Gu WOO, Moo Joong KIM, Won Suk LEE, Soon-Jong Lee, Tae Min Park",6/16/2023,12/19/2024,2024
US-2024416727-A1,Refrigerant circulating apparatus of vehicle ,"Hyundai Motor Company, Kia Corporation, Hanon Systems, Doowon Climate Control Co., Ltd.","Jeawan Kim, Dongwook Lee, Wan Je Cho, Yeonho Kim, HoYoung Jeong, Man Hee Park, Yeong Jun KIM, Jae Yeon Kim, Hochan An, Hae Jun Lee, Sang Gu WOO, Moo Joong KIM, Won Suk LEE, Soon-Jong Lee, Tae Min Park",6/16/2023,12/19/2024,2024
US-2023237793-A1,False track mitigation in object detection systems ,"Argo Al, LLC","Shubhendra Chauhan, Xiufeng Song",1/27/2022,7/27/2023,2023
US-2024393256-A1,Inspection method of inspecting moving object ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",5/25/2023,11/28/2024,2024
US-2024017744-A1,Operational weather management ,"Ford Global Technologies, Llc","Lin Zuo, Shenglong Gao, Bradley Dryer",7/14/2022,1/18/2024,2024
US-2023415766-A1,Lane segment clustering using hybrid distance metrics ,"Argo AI, LLC","Andrew Hartnett, George Peter Kenneth Carr, Nikolai Popov",6/22/2022,12/28/2023,2023
US-2024280998-A1,"System, moving object, method of manufacturing moving object, and server ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",2/17/2023,8/22/2024,2024
US-2024329651-A1,Control device and remote operation device ,Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Rio Suda, Yoshinori Watanabe, Daiki Yokoyama",3/30/2023,10/3/2024,2024
US-2024393362-A1,Inspection method of inspecting moving object ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",5/25/2023,11/28/2024,2024
US-2024393211-A1,Inspection method of inspecting moving object ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",5/25/2023,11/28/2024,2024
US-12049182-B1,"Systems, methods, and devices for current monitoring and power control ","Altec Industries, Inc.","David Bryon Fuller, Jesse L. Thompson",9/25/2023,7/30/2024,2024
US-2023273046-A1,Information display device and recording medium ,"Toyota Jidosha Kabushiki Kaisha, Denso Corporation","Takahiro Matsunaga, Hiroki TERASHITA, Sui Kurihashi",2/25/2022,8/31/2023,2023
US-2023231163-A1,Range extension system ,Chen-Yang Wu,Chen-Yang Wu,3/20/2020,7/20/2023,2023
US-2024217317-A1,Active dynamic sun visor and method of operation thereof ,Zf Friedrichshafen Ag,Harish Kumar,12/30/2022,7/4/2024,2024
US-2025056076-A1,"Server, method, and non-transitory storage medium ",Toyota Jidosha Kabushiki Kaisha,"Ryogo Nonaka, Ai Miyata, Keisuke Okamoto, Yuka TAKIGUCHI, Nahoko Shibano, Yuta SHISHIME, Tsuyoshi Okada, Shota Komatsu",8/10/2023,2/13/2025,2025
US-2024208295-A1,Information processing device ,Toyota Jidosha Kabushiki Kaisha,Reona GOMI,12/22/2022,6/27/2024,2024
US-2024413783-A1,A renewable energy system with integrated solar panels ,Amir Tamir MAZIG,Amir Tamir MAZIG,10/21/2021,12/12/2024,2024
US-12190731-B2,"Plan proposal device, system, vehicle, and plan proposal method ",Toyota Jidosha Kabushiki Kaisha,"Kodai TAKANOHASHI, Atsushi Okubo, Yuji TACHIBANA, Shogo MOMOSHIMA, Takaaki Kato, Daiki KANEICHI, Minoru NAKADORI",3/31/2021,1/7/2025,2025
US-2024208532-A1,"System, Method, and Computer Program Product for Dynamic Detection Threshold for LiDAR of an Autonomous Vehicle ","Lg Innotek Co., Ltd.","Ryan Thomas Davis, Dane Bennington, Mohamed Seghilani",12/23/2022,6/27/2024,2024
US-2024185643-A1,Vehicle distance to empty prediction apparatus and method ,"Hyundai Motor Company, Kia Corporation",Ki Hyung Joo,12/6/2022,6/6/2024,2024
US-2024427340-A1,"System, controller, and control method ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",6/23/2023,12/26/2024,2024
US-2023256973-A1,System and method for predicting driver situational awareness ,"Honda Motor Co., Ltd.","Teruhisa Misu, Kumar Akash",2/11/2022,8/17/2023,2023
US-2024249465-A1,Systems and methods for depth synthesis with transformer architectures ,"Toyota Research Institute, Inc., Toyota Jidosha Kabushiki Kaisha, Toyota Technological Institute at Chicago","Vitor Guizilini, Igor Vasiljevic, Adrien D. Gaidon, Greg Shakhnarovich, Matthew Walter, Jiading Fang, Rares A. Ambrus",1/19/2023,7/25/2024,2024
US-2024286621-A1,Updating model of abnormal driving detection ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Seyhan Ucar, Tomohiro Matsuda, Yongkang Liu, Emrah Akin Sisbot, Kentaro Oguchi",2/27/2023,8/29/2024,2024
US-2024409105-A1,Stress mitigation when performing suggested maneuvers ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Seyhan Ucar, Takamasa HIGUCHI, Onur Altintas",6/7/2023,12/12/2024,2024
US-2024272691-A1,Computational storage devices and power management methods thereof ,"Samsung Electronics Co., Ltd.","Hyunjoon Yoo, Soo-Young Ji, Heon Jekal",2/9/2023,8/15/2024,2024
US-2025055282-A1,Power architecture for self-powered air conditioning systems ,Carrier Corporation,"Stella Maris Oggianu, Adam Finney, HanJong Kim, David Mannfeld, Jonathan Blake",,2/13/2025,2025
US-2025020358-A1,Self-powered air conditioning systems ,Carrier Corporation,"Arindom Joardar, HanJong Kim, Luis ARNEDO, Tobias Sienel",7/11/2023,1/16/2025,2025
US-2025018764-A1,Self-powered air conditioning systems ,Carrier Corporation,Arindom Joardar,7/11/2023,1/16/2025,2025
US-2022295216-A1,Electronic device monitoring system ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Divya Sai Toopran,3/12/2021,9/15/2022,2022
US-2023088653-A1,Smartcell battery architectures and methodologies ,Volvo Car Corporation,"Narendar Rao GANNAMANENI, Jonas Forssell",9/21/2021,3/23/2023,2023
US-2024308608-A1,"Controller, system, and method of controlling moving object ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Takuro SAWANO, Yuka YOKOI, Daiki Yokoyama",3/17/2023,9/19/2024,2024
US-2024329648-A1,"Remote control system, remote control deactivation device, and remote control deactivation method ",Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Daiki Yokoyama",3/28/2023,10/3/2024,2024
US-2024329645-A1,"Remote control system, remote control deactivation device, and remote control deactivation method ",Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Daiki Yokoyama",3/28/2023,10/3/2024,2024
US-2024195719-A1,Method and system for detecting message latency and faults within a computing system ,"Ford Global Technologies, Llc","Haneet Singh, Dalton M. Woodard",12/8/2022,6/13/2024,2024
US-2024400091-A1,Control device and control method ,Toyota Jidosha Kabushiki Kaisha,"Go Inoue, Noritsugu Iwazaki, Takeshi Kanou, Yoshinori Watanabe, Yuki Okamoto, Daiki Yokoyama",5/31/2023,12/5/2024,2024
US-2024149921-A1,Method and device with autonomous driving plan ,"Samsung Electronics Co., Ltd.","Jaemuk JEONG, Jahoo KOO, Seho SHIN",11/9/2022,5/9/2024,2024
US-2023395078-A1,Emotion-aware voice assistant ,Cerence Operating Company,"Raymond Brueckner, Markus Funk",6/6/2022,12/7/2023,2023
US-2024377832-A1,"Moving object, server, and method of manufacturing moving object ",Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Shogo YASUYAMA, Noritsugu Iwazaki, Takeshi Kanou, Daiki Yokoyama, Go Inoue",5/11/2023,11/14/2024,2024
US-2024402483-A1,Autostereoscopic campfire display ,GM Global Technology Operations LLC,"Thomas A. Seder, Joseph F. Szczerba, Tzvi Philipp, Manoj Sharma",5/30/2023,12/5/2024,2024
US-2024319740-A1,System ,Toyota Jidosha Kabushiki Kaisha,"Shogo YASUYAMA, Takeshi Kanou, Kento IWAHORI, Daiki Yokoyama",3/24/2023,9/26/2024,2024
US-2024270253-A1,System and method for managing hydroplaning for a vehicle ,"Ford Global Technologies, Llc","Mahmoud Ghannam, Aed Dudar",2/10/2023,8/15/2024,2024
US-2024308426-A1,"Unknown cargo detection and evidence collection system for a vehicle, and associated method ","Ford Global Technologies, Llc","John Robert Van Wiemeersch, Brendan Diamond, Stuart C. Salter, Pietro Buttolo, Keith Weston, Mahmoud Yousef Ghannam",3/17/2023,9/19/2024,2024
US-2025001833-A1,Methods and systems for ventilating air flow in a vehicle ,Fca Us Llc,"II Mark E. Stout, Travis D. Bechtel",6/30/2023,1/2/2025,2025
US-2024059355-A1,Side sill assembly for vehicle ,"Hyundai Motor Company, Kia Corporation","Chang Hak Kang, Chan Woong Jeon, Sang Kyoung Han, Hae Hoon Lee",8/22/2022,2/22/2024,2024
US-2023181868-A1,Systems and methods to provide a relaxation regimen to an occupant of a vehicle ,"Ford Global Technologies, Llc","Kwaku Prakah-Asante, Ayush Shah",12/9/2021,6/15/2023,2023
US-2024246105-A1,Device and process for coating an electrode ,Nordson Corporation,"Peter Qiu, Neil REN, Kevin Jiang, Andrew Hu, Lock CHEN, Mikky SHAO, Charles YI",1/19/2023,7/25/2024,2024
US-12136002-B1,Simultaneous multi-threaded processing for executing multiple workloads with interference prevention ,Mercedes-Benz Group AG,Francois Piednoel,1/24/2024,11/5/2024,2024
US-2024142605-A1,Sign apparatus for vehicle ,"Samsung Electronics Co., Ltd.","Jinyong JEON, Seung Tae KHANG, Sungdo CHOI, Jong-sok KIM, Young Rae Cho",10/26/2022,5/2/2024,2024
US-2024357671-A1,"Device connection method, device, and storage medium ","Guangdong Oppo Mobile Telecommunications Corp., Ltd.","Fan Liu, Zhiyi DENG",12/31/2021,10/24/2024,2024
